Study-Object,Files,Methods,Files,Methods,LevenDistance
8,56,requeue.txt-8,67,main.txt,87,
8,38,main.txt-8,67,main.txt,46,
8,38,main.txt-8,56,requeue.txt,83,
8,27,getnum.txt-8,67,main.txt,72,
8,27,getnum.txt-8,56,requeue.txt,68,
8,27,getnum.txt-8,38,main.txt,65,
8,79,fill_sums.txt-8,67,main.txt,81,
8,79,fill_sums.txt-8,56,requeue.txt,62,
8,79,fill_sums.txt-8,38,main.txt,74,
8,79,fill_sums.txt-8,27,getnum.txt,60,
8,08,main.txt-8,67,main.txt,52,
8,08,main.txt-8,56,requeue.txt,79,
8,08,main.txt-8,38,main.txt,49,
8,08,main.txt-8,27,getnum.txt,57,
8,08,main.txt-8,79,fill_sums.txt,66,
8,04,main.txt-8,67,main.txt,52,
8,04,main.txt-8,56,requeue.txt,80,
8,04,main.txt-8,38,main.txt,46,
8,04,main.txt-8,27,getnum.txt,59,
8,04,main.txt-8,79,fill_sums.txt,69,
8,04,main.txt-8,08,main.txt,30,
8,52,work.txt-8,67,main.txt,58,
8,52,work.txt-8,56,requeue.txt,84,
8,52,work.txt-8,38,main.txt,60,
8,52,work.txt-8,27,getnum.txt,67,
8,52,work.txt-8,79,fill_sums.txt,74,
8,52,work.txt-8,08,main.txt,57,
8,52,work.txt-8,04,main.txt,57,
8,87,main.txt-8,67,main.txt,48,
8,87,main.txt-8,56,requeue.txt,86,
8,87,main.txt-8,38,main.txt,50,
8,87,main.txt-8,27,getnum.txt,68,
8,87,main.txt-8,79,fill_sums.txt,78,
8,87,main.txt-8,08,main.txt,40,
8,87,main.txt-8,04,main.txt,43,
8,87,main.txt-8,52,work.txt,56,
8,98,main.txt-8,67,main.txt,47,
8,98,main.txt-8,56,requeue.txt,83,
8,98,main.txt-8,38,main.txt,37,
8,98,main.txt-8,27,getnum.txt,67,
8,98,main.txt-8,79,fill_sums.txt,77,
8,98,main.txt-8,08,main.txt,51,
8,98,main.txt-8,04,main.txt,48,
8,98,main.txt-8,52,work.txt,58,
8,98,main.txt-8,87,main.txt,50,
8,53,main.txt-8,67,main.txt,47,
8,53,main.txt-8,56,requeue.txt,85,
