,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,,,,,3,,,,,,,3,,,3,3,,,3,,3,,2,,,,3,,,,,,,,,,,3,3,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,2,,2,,3,2,,,2,,,,,2,3,,,,,2,2,,,2,,,2,2,,,,,,,2,2,,,,2,2,,2,,,2,2,2,2,2,,2,,2,,,2,2,,,3,,2,,,,2,2,,2,2,,2,,,,,,,,3,,2,,,,,,2,,2,3,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,3,3,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,3,2,,,2,,,,,2,3,,,,,2,2,,,2,,,2,2,,,,,,,2,2,,,,,2,,2,,,2,2,2,2,2,,2,,2,,,2,2,,,,,2,,,,2,2,,2,2,,2,,,,,,,,,,2,,,,,,2,,2,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,2,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,3,,,3,,,3,,3,3,,,,,3,,,,,,,3,,,,,,2,,3,,,,,,,,,,,,3,3,,3,,,,3,,,3,,,,,,,,,,3,3,,3,3,,,,,,,3,,,3,,,,,,,,,,3,,,
12,,,,,,,,,,,,,,,2,,,,,2,3,,,,,2,,,,2,,,2,2,,,,,3,,2,2,,,,,,,2,,,,2,2,2,2,,,,2,,,2,,,,,,2,,,,2,2,,2,2,,2,,,,,,,,3,,2,,,,,,2,,2,,,
13,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,3,,,,,,,3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,2,3,2,,,,2,2,,,2,,,2,2,,,,,,,2,,2,,,3,2,,2,,,2,2,2,2,2,,2,,2,,,2,2,,,,,,,,,2,3,,2,2,,2,,,,,,,,2,,3,,,,,,2,,2,3,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,2,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,3,,,,,,,,,3,,2,,3,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
20,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,2,,,2,2,,,,,,2,2,2,,,,,,,2,,,,2,2,2,2,,,,2,,,2,,,,,,2,,,,2,2,,2,2,,2,,,3,,,,,,,2,,,,,,2,,2,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,3,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,2,,,,,,,,2,3,3,3,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,3,,,,3,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,2,,,,,,,2,2,,,,,,,2,,,,2,2,2,2,,3,,2,,,2,,,,,,2,,,,2,2,,2,2,,2,,,,,,,,,,2,,,,,,2,,2,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,3,3,2,,,,3,2,,,,,,2,,2,,,,2,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,3,,,,,,,3,,,,3,,,,3,,,,,,,,,,,,3,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,2,3,,,,,,,2,,,,2,2,2,2,3,,,2,,,2,,,,,,3,,,,2,,3,2,2,,2,,,,,,,,,,,,,,,,2,,2,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,2,,,,2,2,2,2,,,,2,,,2,,,,3,,,,,,2,3,,2,2,,2,,,,,,,,,,,,,,,,2,,2,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,2,2,2,2,,2,,2,,,2,2,,,,,,,,,2,,,2,2,,2,,,,,,,,,,,,,,,,2,,2,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,3,,,,3,,,,,,,,,,,3,3,,,,,,3,,,,3,,,,,,,,3,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,3,,3,,,,3,,,,,,,,,,,,3,3,,,3,3,,,,,,,3,,,3,,,,,,,,,,3,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2,2,,,,2,,,2,,,,,,,,,,2,,,2,2,,2,,,,,3,,,,,3,,,,,,2,3,2,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,2,3,,,,,,2,,,,,,3,,,,2,2,3,,,,3,,,,,,,,,,2,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,3,,,,,,,2,,,,,3
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,3,,,,,,,,,,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,2,2,,,2,,,,,2,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,,,2,,,2,,,,,,3,,,,2,,3,2,2,,2,,,,,,,,,,,,,,,,2,,2,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
