Study-object,Files,Methods,Files,Methods,LevenDistance
2,68,calnoerrprob.txt-2,64,main.txt,76,
2,68,calnoerrprob.txt-2,81,main.txt,66,
2,68,calnoerrprob.txt-2,37,dbcmp.txt,54,
2,68,calnoerrprob.txt-2,91,get_probs.txt,40,
2,68,calnoerrprob.txt-2,02,main.txt,82,
2,68,calnoerrprob.txt-2,64,f.txt,39,
2,68,calnoerrprob.txt-2,31,min.txt,51,
2,68,calnoerrprob.txt-2,22,main.txt,75,
2,68,calnoerrprob.txt-2,71,main.txt,88,
2,68,calnoerrprob.txt-2,95,main.txt,79,
2,68,calnoerrprob.txt-2,92,calculate_strokes.txt,50,
2,68,calnoerrprob.txt-2.100,main.txt,83,
2,68,calnoerrprob.txt-2,88,get_column_space.txt,70,
2,68,calnoerrprob.txt-2,92,main.txt,76,
2,68,calnoerrprob.txt-2,13,main.txt,89,
2,68,calnoerrprob.txt-2,82,main.txt,50,
2,03,product.txt-2,93,main.txt,85,
2,03,product.txt-2,64,main.txt,71,
2,03,product.txt-2,81,main.txt,57,
2,03,product.txt-2,37,dbcmp.txt,52,
2,03,product.txt-2,91,get_probs.txt,50,
2,03,product.txt-2,02,main.txt,77,
2,03,product.txt-2,64,f.txt,32,
2,03,product.txt-2,31,min.txt,62,
2,03,product.txt-2,22,main.txt,70,
2,03,product.txt-2,71,main.txt,86,
2,03,product.txt-2,95,main.txt,75,
2,03,product.txt-2,92,calculate_strokes.txt,56,
2,03,product.txt-2.100,main.txt,80,
2,03,product.txt-2,88,get_column_space.txt,69,
2,03,product.txt-2,92,main.txt,71,
2,03,product.txt-2,13,main.txt,86,
2,03,product.txt-2,82,main.txt,32,
2,03,product.txt-2,68,calnoerrprob.txt,27,
2,54,main.txt-2,93,main.txt,46,
2,54,main.txt-2,64,main.txt,29,
2,54,main.txt-2,81,main.txt,60,
2,54,main.txt-2,37,dbcmp.txt,79,
2,54,main.txt-2,91,get_probs.txt,81,
2,54,main.txt-2,02,main.txt,50,
2,54,main.txt-2,64,f.txt,75,
2,54,main.txt-2,31,min.txt,88,
2,54,main.txt-2,22,main.txt,34,
2,54,main.txt-2,71,main.txt,49,
2,54,main.txt-2,95,main.txt,23,
2,54,main.txt-2,92,calculate_strokes.txt,77,
2,54,main.txt-2.100,main.txt,41,
2,54,main.txt-2,88,get_column_space.txt,59,
2,54,main.txt-2,92,main.txt,35,
