Study-object,Files,Methods,Files,Methods,LevenDistance
13,28,read_input_int.txt-13,55,insert_sort.txt,82,
13,28,main.txt-13,55,insert_sort.txt,61,
13,28,main.txt-13,28,read_input_int.txt,87,
13,14,main.txt-13,55,insert_sort.txt,51,
13,14,main.txt-13,28,read_input_int.txt,84,
13,14,main.txt-13,28,main.txt,43,
13,89,read.txt-13,55,insert_sort.txt,69,
13,89,read.txt-13,28,read_input_int.txt,59,
13,89,read.txt-13,28,main.txt,80,
13,89,read.txt-13,14,main.txt,74,
13,75,main.txt-13,55,insert_sort.txt,52,
13,75,main.txt-13,28,read_input_int.txt,84,
13,75,main.txt-13,28,main.txt,40,
13,75,main.txt-13,14,main.txt,25,
13,75,main.txt-13,89,read.txt,74,
13,84,intersect.txt-13,55,insert_sort.txt,65,
13,84,intersect.txt-13,28,read_input_int.txt,65,
13,84,intersect.txt-13,28,main.txt,81,
13,84,intersect.txt-13,14,main.txt,75,
13,84,intersect.txt-13,89,read.txt,62,
13,84,intersect.txt-13,75,main.txt,76,
13,81,main.txt-13,55,insert_sort.txt,61,
13,81,main.txt-13,28,read_input_int.txt,87,
13,81,main.txt-13,28,main.txt,42,
13,81,main.txt-13,14,main.txt,37,
13,81,main.txt-13,89,read.txt,79,
13,81,main.txt-13,75,main.txt,32,
13,81,main.txt-13,84,intersect.txt,81,
13,24,main.txt-13,55,insert_sort.txt,60,
13,24,main.txt-13,28,read_input_int.txt,87,
13,24,main.txt-13,28,main.txt,44,
13,24,main.txt-13,14,main.txt,42,
13,24,main.txt-13,89,read.txt,79,
13,24,main.txt-13,75,main.txt,41,
13,24,main.txt-13,84,intersect.txt,80,
13,24,main.txt-13,81,main.txt,40,
13,17,main.txt-13,55,insert_sort.txt,57,
13,17,main.txt-13,28,read_input_int.txt,86,
13,17,main.txt-13,28,main.txt,41,
13,17,main.txt-13,14,main.txt,29,
13,17,main.txt-13,89,read.txt,78,
13,17,main.txt-13,75,main.txt,23,
13,17,main.txt-13,84,intersect.txt,79,
13,17,main.txt-13,81,main.txt,34,
13,17,main.txt-13,24,main.txt,42,
13,99,main.txt-13,55,insert_sort.txt,51,
13,99,main.txt-13,28,read_input_int.txt,84,
13,99,main.txt-13,28,main.txt,42,
13,99,main.txt-13,14,main.txt,35,
13,99,main.txt-13,89,read.txt,74,
13,99,main.txt-13,75,main.txt,30,
13,99,main.txt-13,84,intersect.txt,77,
13,99,main.txt-13,81,main.txt,35,
13,99,main.txt-13,24,main.txt,42,
13,99,main.txt-13,17,main.txt,33,
13,45,main.txt-13,55,insert_sort.txt,55,
13,45,main.txt-13,28,read_input_int.txt,80,
13,45,main.txt-13,28,main.txt,59,
13,45,main.txt-13,14,main.txt,48,
13,45,main.txt-13,89,read.txt,69,
13,45,main.txt-13,75,main.txt,46,
13,45,main.txt-13,84,intersect.txt,75,
13,45,main.txt-13,81,main.txt,52,
13,45,main.txt-13,24,main.txt,52,
13,45,main.txt-13,17,main.txt,49,
13,45,main.txt-13,99,main.txt,46,
13,33,check_inter.txt-13,55,insert_sort.txt,51,
13,33,check_inter.txt-13,28,read_input_int.txt,84,
13,33,check_inter.txt-13,28,main.txt,64,
13,33,check_inter.txt-13,14,main.txt,60,
13,33,check_inter.txt-13,89,read.txt,76,
13,33,check_inter.txt-13,75,main.txt,60,
13,33,check_inter.txt-13,84,intersect.txt,64,
13,33,check_inter.txt-13,81,main.txt,65,
13,33,check_inter.txt-13,24,main.txt,62,
13,33,check_inter.txt-13,17,main.txt,61,
13,33,check_inter.txt-13,99,main.txt,59,
13,33,check_inter.txt-13,45,main.txt,66,
13,41,isline.txt-13,55,insert_sort.txt,66,
13,41,isline.txt-13,28,read_input_int.txt,73,
13,41,isline.txt-13,28,main.txt,78,
13,41,isline.txt-13,14,main.txt,71,
13,41,isline.txt-13,89,read.txt,69,
13,41,isline.txt-13,75,main.txt,71,
13,41,isline.txt-13,84,intersect.txt,45,
13,41,isline.txt-13,81,main.txt,77,
13,41,isline.txt-13,24,main.txt,76,
13,41,isline.txt-13,17,main.txt,75,
13,41,isline.txt-13,99,main.txt,75,
13,41,isline.txt-13,45,main.txt,73,
13,41,isline.txt-13,33,check_inter.txt,68,
13,31,main.txt-13,55,insert_sort.txt,61,
13,31,main.txt-13,28,read_input_int.txt,88,
13,31,main.txt-13,28,main.txt,35,
13,31,main.txt-13,14,main.txt,40,
13,31,main.txt-13,89,read.txt,82,
13,31,main.txt-13,75,main.txt,37,
13,31,main.txt-13,84,intersect.txt,83,
13,31,main.txt-13,81,main.txt,34,
13,31,main.txt-13,24,main.txt,41,
13,31,main.txt-13,17,main.txt,38,
13,31,main.txt-13,99,main.txt,40,
13,31,main.txt-13,45,main.txt,57,
13,31,main.txt-13,33,check_inter.txt,65,
13,31,main.txt-13,41,isline.txt,79,
13,56,compare.txt-13,55,insert_sort.txt,71,
13,56,compare.txt-13,28,read_input_int.txt,66,
13,56,compare.txt-13,28,main.txt,84,
13,56,compare.txt-13,14,main.txt,78,
13,56,compare.txt-13,89,read.txt,73,
13,56,compare.txt-13,75,main.txt,78,
13,56,compare.txt-13,84,intersect.txt,61,
13,56,compare.txt-13,81,main.txt,83,
13,56,compare.txt-13,24,main.txt,82,
13,56,compare.txt-13,17,main.txt,82,
13,56,compare.txt-13,99,main.txt,79,
13,56,compare.txt-13,45,main.txt,76,
13,56,compare.txt-13,33,check_inter.txt,73,
13,56,compare.txt-13,41,isline.txt,51,
13,56,compare.txt-13,31,main.txt,84,
13,11,main.txt-13,55,insert_sort.txt,66,
13,11,main.txt-13,28,read_input_int.txt,90,
13,11,main.txt-13,28,main.txt,38,
13,11,main.txt-13,14,main.txt,42,
13,11,main.txt-13,89,read.txt,83,
13,11,main.txt-13,75,main.txt,43,
13,11,main.txt-13,84,intersect.txt,83,
13,11,main.txt-13,81,main.txt,39,
13,11,main.txt-13,24,main.txt,40,
13,11,main.txt-13,17,main.txt,36,
13,11,main.txt-13,99,main.txt,43,
13,11,main.txt-13,45,main.txt,59,
13,11,main.txt-13,33,check_inter.txt,67,
13,11,main.txt-13,41,isline.txt,80,
13,11,main.txt-13,31,main.txt,39,
13,11,main.txt-13,56,compare.txt,85,
13,89,main.txt-13,55,insert_sort.txt,68,
13,89,main.txt-13,28,read_input_int.txt,74,
13,89,main.txt-13,28,main.txt,66,
13,89,main.txt-13,14,main.txt,56,
13,89,main.txt-13,89,read.txt,60,
13,89,main.txt-13,75,main.txt,55,
13,89,main.txt-13,84,intersect.txt,72,
13,89,main.txt-13,81,main.txt,56,
13,89,main.txt-13,24,main.txt,62,
13,89,main.txt-13,17,main.txt,62,
13,89,main.txt-13,99,main.txt,62,
13,89,main.txt-13,45,main.txt,48,
13,89,main.txt-13,33,check_inter.txt,71,
13,89,main.txt-13,41,isline.txt,63,
13,89,main.txt-13,31,main.txt,67,
13,89,main.txt-13,56,compare.txt,70,
13,89,main.txt-13,11,main.txt,71,
13,79,main.txt-13,55,insert_sort.txt,61,
13,79,main.txt-13,28,read_input_int.txt,88,
13,79,main.txt-13,28,main.txt,42,
13,79,main.txt-13,14,main.txt,40,
13,79,main.txt-13,89,read.txt,81,
13,79,main.txt-13,75,main.txt,36,
13,79,main.txt-13,84,intersect.txt,82,
13,79,main.txt-13,81,main.txt,21,
13,79,main.txt-13,24,main.txt,41,
13,79,main.txt-13,17,main.txt,36,
13,79,main.txt-13,99,main.txt,38,
13,79,main.txt-13,45,main.txt,45,
13,79,main.txt-13,33,check_inter.txt,66,
13,79,main.txt-13,41,isline.txt,78,
13,79,main.txt-13,31,main.txt,37,
13,79,main.txt-13,56,compare.txt,84,
13,79,main.txt-13,11,main.txt,40,
13,79,main.txt-13,89,main.txt,63,
13,13,main.txt-13,55,insert_sort.txt,72,
13,13,main.txt-13,28,read_input_int.txt,91,
13,13,main.txt-13,28,main.txt,47,
13,13,main.txt-13,14,main.txt,56,
13,13,main.txt-13,89,read.txt,87,
13,13,main.txt-13,75,main.txt,55,
13,13,main.txt-13,84,intersect.txt,87,
13,13,main.txt-13,81,main.txt,42,
13,13,main.txt-13,24,main.txt,45,
13,13,main.txt-13,17,main.txt,52,
13,13,main.txt-13,99,main.txt,54,
13,13,main.txt-13,45,main.txt,61,
13,13,main.txt-13,33,check_inter.txt,74,
13,13,main.txt-13,41,isline.txt,84,
13,13,main.txt-13,31,main.txt,43,
13,13,main.txt-13,56,compare.txt,88,
13,13,main.txt-13,11,main.txt,47,
13,13,main.txt-13,89,main.txt,72,
13,13,main.txt-13,79,main.txt,36,
13,28,read_input_line.txt-13,55,insert_sort.txt,74,
13,28,read_input_line.txt-13,28,read_input_int.txt,54,
13,28,read_input_line.txt-13,28,main.txt,82,
13,28,read_input_line.txt-13,14,main.txt,74,
13,28,read_input_line.txt-13,89,read.txt,60,
13,28,read_input_line.txt-13,75,main.txt,74,
13,28,read_input_line.txt-13,84,intersect.txt,64,
13,28,read_input_line.txt-13,81,main.txt,78,
13,28,read_input_line.txt-13,24,main.txt,78,
13,28,read_input_line.txt-13,17,main.txt,78,
13,28,read_input_line.txt-13,99,main.txt,75,
13,28,read_input_line.txt-13,45,main.txt,68,
13,28,read_input_line.txt-13,33,check_inter.txt,75,
13,28,read_input_line.txt-13,41,isline.txt,73,
13,28,read_input_line.txt-13,31,main.txt,81,
13,28,read_input_line.txt-13,56,compare.txt,68,
13,28,read_input_line.txt-13,11,main.txt,83,
13,28,read_input_line.txt-13,89,main.txt,60,
13,28,read_input_line.txt-13,79,main.txt,79,
13,28,read_input_line.txt-13,13,main.txt,84,
13,90,main.txt-13,55,insert_sort.txt,52,
13,90,main.txt-13,28,read_input_int.txt,85,
13,90,main.txt-13,28,main.txt,34,
13,90,main.txt-13,14,main.txt,24,
13,90,main.txt-13,89,read.txt,76,
13,90,main.txt-13,75,main.txt,19,
13,90,main.txt-13,84,intersect.txt,77,
13,90,main.txt-13,81,main.txt,25,
13,90,main.txt-13,24,main.txt,39,
13,90,main.txt-13,17,main.txt,27,
13,90,main.txt-13,99,main.txt,22,
13,90,main.txt-13,45,main.txt,47,
13,90,main.txt-13,33,check_inter.txt,60,
13,90,main.txt-13,41,isline.txt,73,
13,90,main.txt-13,31,main.txt,30,
13,90,main.txt-13,56,compare.txt,80,
13,90,main.txt-13,11,main.txt,35,
13,90,main.txt-13,89,main.txt,59,
13,90,main.txt-13,79,main.txt,30,
13,90,main.txt-13,13,main.txt,51,
13,90,main.txt-13,28,read_input_line.txt,76,
13,41,main.txt-13,55,insert_sort.txt,86,
13,41,main.txt-13,28,read_input_int.txt,55,
13,41,main.txt-13,28,main.txt,92,
13,41,main.txt-13,14,main.txt,89,
13,41,main.txt-13,89,read.txt,70,
13,41,main.txt-13,75,main.txt,89,
13,41,main.txt-13,84,intersect.txt,70,
13,41,main.txt-13,81,main.txt,92,
13,41,main.txt-13,24,main.txt,91,
13,41,main.txt-13,17,main.txt,91,
13,41,main.txt-13,99,main.txt,90,
13,41,main.txt-13,45,main.txt,87,
13,41,main.txt-13,33,check_inter.txt,87,
13,41,main.txt-13,41,isline.txt,76,
13,41,main.txt-13,31,main.txt,93,
13,41,main.txt-13,56,compare.txt,70,
13,41,main.txt-13,11,main.txt,93,
13,41,main.txt-13,89,main.txt,83,
13,41,main.txt-13,79,main.txt,92,
13,41,main.txt-13,13,main.txt,95,
13,41,main.txt-13,28,read_input_line.txt,76,
13,41,main.txt-13,90,main.txt,90,
13,94,main.txt-13,55,insert_sort.txt,82,
13,94,main.txt-13,28,read_input_int.txt,94,
13,94,main.txt-13,28,main.txt,63,
13,94,main.txt-13,14,main.txt,72,
13,94,main.txt-13,89,read.txt,91,
13,94,main.txt-13,75,main.txt,70,
13,94,main.txt-13,84,intersect.txt,91,
13,94,main.txt-13,81,main.txt,66,
13,94,main.txt-13,24,main.txt,65,
13,94,main.txt-13,17,main.txt,66,
13,94,main.txt-13,99,main.txt,70,
13,94,main.txt-13,45,main.txt,78,
13,94,main.txt-13,33,check_inter.txt,82,
13,94,main.txt-13,41,isline.txt,90,
13,94,main.txt-13,31,main.txt,62,
13,94,main.txt-13,56,compare.txt,92,
13,94,main.txt-13,11,main.txt,55,
13,94,main.txt-13,89,main.txt,84,
13,94,main.txt-13,79,main.txt,65,
13,94,main.txt-13,13,main.txt,55,
13,94,main.txt-13,28,read_input_line.txt,91,
13,94,main.txt-13,90,main.txt,67,
13,94,main.txt-13,41,main.txt,96,
13,57,main.txt-13,55,insert_sort.txt,51,
13,57,main.txt-13,28,read_input_int.txt,84,
13,57,main.txt-13,28,main.txt,39,
13,57,main.txt-13,14,main.txt,22,
13,57,main.txt-13,89,read.txt,74,
13,57,main.txt-13,75,main.txt,22,
13,57,main.txt-13,84,intersect.txt,77,
13,57,main.txt-13,81,main.txt,33,
13,57,main.txt-13,24,main.txt,41,
13,57,main.txt-13,17,main.txt,26,
13,57,main.txt-13,99,main.txt,29,
13,57,main.txt-13,45,main.txt,45,
13,57,main.txt-13,33,check_inter.txt,60,
13,57,main.txt-13,41,isline.txt,72,
13,57,main.txt-13,31,main.txt,36,
13,57,main.txt-13,56,compare.txt,79,
13,57,main.txt-13,11,main.txt,39,
13,57,main.txt-13,89,main.txt,57,
13,57,main.txt-13,79,main.txt,37,
13,57,main.txt-13,13,main.txt,55,
13,57,main.txt-13,28,read_input_line.txt,75,
13,57,main.txt-13,90,main.txt,19,
13,57,main.txt-13,41,main.txt,90,
13,57,main.txt-13,94,main.txt,70,
13,89,solve.txt-13,55,insert_sort.txt,50,
13,89,solve.txt-13,28,read_input_int.txt,75,
13,89,solve.txt-13,28,main.txt,74,
13,89,solve.txt-13,14,main.txt,64,
13,89,solve.txt-13,89,read.txt,47,
13,89,solve.txt-13,75,main.txt,65,
13,89,solve.txt-13,84,intersect.txt,53,
13,89,solve.txt-13,81,main.txt,73,
13,89,solve.txt-13,24,main.txt,70,
13,89,solve.txt-13,17,main.txt,70,
13,89,solve.txt-13,99,main.txt,66,
13,89,solve.txt-13,45,main.txt,63,
13,89,solve.txt-13,33,check_inter.txt,65,
13,89,solve.txt-13,41,isline.txt,66,
13,89,solve.txt-13,31,main.txt,76,
13,89,solve.txt-13,56,compare.txt,67,
13,89,solve.txt-13,11,main.txt,77,
13,89,solve.txt-13,89,main.txt,61,
13,89,solve.txt-13,79,main.txt,75,
13,89,solve.txt-13,13,main.txt,82,
13,89,solve.txt-13,28,read_input_line.txt,74,
13,89,solve.txt-13,90,main.txt,67,
13,89,solve.txt-13,41,main.txt,77,
13,89,solve.txt-13,94,main.txt,88,
13,89,solve.txt-13,57,main.txt,65,
13,77,main.txt-13,55,insert_sort.txt,72,
13,77,main.txt-13,28,read_input_int.txt,91,
13,77,main.txt-13,28,main.txt,56,
13,77,main.txt-13,14,main.txt,60,
13,77,main.txt-13,89,read.txt,87,
13,77,main.txt-13,75,main.txt,55,
13,77,main.txt-13,84,intersect.txt,87,
13,77,main.txt-13,81,main.txt,47,
13,77,main.txt-13,24,main.txt,57,
13,77,main.txt-13,17,main.txt,54,
13,77,main.txt-13,99,main.txt,58,
13,77,main.txt-13,45,main.txt,61,
13,77,main.txt-13,33,check_inter.txt,74,
13,77,main.txt-13,41,isline.txt,84,
13,77,main.txt-13,31,main.txt,50,
13,77,main.txt-13,56,compare.txt,88,
13,77,main.txt-13,11,main.txt,54,
13,77,main.txt-13,89,main.txt,72,
13,77,main.txt-13,79,main.txt,42,
13,77,main.txt-13,13,main.txt,45,
13,77,main.txt-13,28,read_input_line.txt,84,
13,77,main.txt-13,90,main.txt,55,
13,77,main.txt-13,41,main.txt,95,
13,77,main.txt-13,94,main.txt,65,
13,77,main.txt-13,57,main.txt,57,
13,77,main.txt-13,89,solve.txt,82,
13,51,intersect.txt-13,55,insert_sort.txt,70,
13,51,intersect.txt-13,28,read_input_int.txt,61,
13,51,intersect.txt-13,28,main.txt,85,
13,51,intersect.txt-13,14,main.txt,81,
13,51,intersect.txt-13,89,read.txt,64,
13,51,intersect.txt-13,75,main.txt,81,
13,51,intersect.txt-13,84,intersect.txt,39,
13,51,intersect.txt-13,81,main.txt,85,
13,51,intersect.txt-13,24,main.txt,84,
13,51,intersect.txt-13,17,main.txt,84,
13,51,intersect.txt-13,99,main.txt,81,
13,51,intersect.txt-13,45,main.txt,79,
13,51,intersect.txt-13,33,check_inter.txt,73,
13,51,intersect.txt-13,41,isline.txt,51,
13,51,intersect.txt-13,31,main.txt,86,
13,51,intersect.txt-13,56,compare.txt,49,
13,51,intersect.txt-13,11,main.txt,87,
13,51,intersect.txt-13,89,main.txt,75,
13,51,intersect.txt-13,79,main.txt,86,
13,51,intersect.txt-13,13,main.txt,90,
13,51,intersect.txt-13,28,read_input_line.txt,67,
13,51,intersect.txt-13,90,main.txt,82,
13,51,intersect.txt-13,41,main.txt,65,
13,51,intersect.txt-13,94,main.txt,93,
13,51,intersect.txt-13,57,main.txt,81,
13,51,intersect.txt-13,89,solve.txt,62,
13,51,intersect.txt-13,77,main.txt,90,
13,95,main.txt-13,55,insert_sort.txt,60,
13,95,main.txt-13,28,read_input_int.txt,87,
13,95,main.txt-13,28,main.txt,47,
13,95,main.txt-13,14,main.txt,51,
13,95,main.txt-13,89,read.txt,78,
13,95,main.txt-13,75,main.txt,52,
13,95,main.txt-13,84,intersect.txt,78,
13,95,main.txt-13,81,main.txt,52,
13,95,main.txt-13,24,main.txt,36,
13,95,main.txt-13,17,main.txt,46,
13,95,main.txt-13,99,main.txt,48,
13,95,main.txt-13,45,main.txt,66,
13,95,main.txt-13,33,check_inter.txt,63,
13,95,main.txt-13,41,isline.txt,73,
13,95,main.txt-13,31,main.txt,52,
13,95,main.txt-13,56,compare.txt,82,
13,95,main.txt-13,11,main.txt,46,
13,95,main.txt-13,89,main.txt,66,
13,95,main.txt-13,79,main.txt,55,
13,95,main.txt-13,13,main.txt,52,
13,95,main.txt-13,28,read_input_line.txt,82,
13,95,main.txt-13,90,main.txt,49,
13,95,main.txt-13,41,main.txt,90,
13,95,main.txt-13,94,main.txt,69,
13,95,main.txt-13,57,main.txt,51,
13,95,main.txt-13,89,solve.txt,66,
13,95,main.txt-13,77,main.txt,65,
13,95,main.txt-13,51,intersect.txt,83,
13,93,main.txt-13,55,insert_sort.txt,62,
13,93,main.txt-13,28,read_input_int.txt,87,
13,93,main.txt-13,28,main.txt,44,
13,93,main.txt-13,14,main.txt,37,
13,93,main.txt-13,89,read.txt,81,
13,93,main.txt-13,75,main.txt,38,
13,93,main.txt-13,84,intersect.txt,82,
13,93,main.txt-13,81,main.txt,15,
13,93,main.txt-13,24,main.txt,39,
