Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,80,main.txt-10,79,main.txt,42,
10,80,main.txt-10,85,main.txt,70,
10,80,main.txt-10,06,main.txt,42,
10,80,main.txt-10,32,main.txt,38,
10,80,main.txt-10,45,_get_result.txt,55,
10,80,main.txt-10,06,sup.txt,82,
10,80,main.txt-10,97,main.txt,34,
10,80,main.txt-10,19,main.txt,33,
10,80,main.txt-10,89,main.txt,43,
10,80,main.txt-10,36,main.txt,37,
10,84,main.txt-10,45,main.txt,64,
10,84,main.txt-10,09,main.txt,45,
10,84,main.txt-10,72,main.txt,43,
10,84,main.txt-10,60,culculate.txt,66,
10,84,main.txt-10,11,score_breakup.txt,80,
10,84,main.txt-10,60,output.txt,84,
10,84,main.txt-10,76,main.txt,40,
10,84,main.txt-10,79,main.txt,48,
10,84,main.txt-10,85,main.txt,53,
10,84,main.txt-10,06,main.txt,41,
10,84,main.txt-10,32,main.txt,30,
10,84,main.txt-10,45,_get_result.txt,62,
10,84,main.txt-10,06,sup.txt,89,
10,84,main.txt-10,97,main.txt,36,
10,84,main.txt-10,19,main.txt,47,
10,84,main.txt-10,89,main.txt,42,
10,84,main.txt-10,36,main.txt,34,
10,84,main.txt-10,80,main.txt,44,
10,18,main.txt-10,45,main.txt,67,
10,18,main.txt-10,09,main.txt,47,
10,18,main.txt-10,72,main.txt,45,
10,18,main.txt-10,60,culculate.txt,68,
10,18,main.txt-10,11,score_breakup.txt,81,
10,18,main.txt-10,60,output.txt,85,
10,18,main.txt-10,76,main.txt,45,
10,18,main.txt-10,79,main.txt,51,
10,18,main.txt-10,85,main.txt,56,
10,18,main.txt-10,06,main.txt,47,
10,18,main.txt-10,32,main.txt,41,
10,18,main.txt-10,45,_get_result.txt,64,
10,18,main.txt-10,06,sup.txt,89,
10,18,main.txt-10,97,main.txt,43,
10,18,main.txt-10,19,main.txt,47,
10,18,main.txt-10,89,main.txt,45,
10,18,main.txt-10,36,main.txt,40,
