Study-object,Files,Method,Files,Method,LevenDistance
1,50,main.txt-1,67,main.txt,43
1,50,main.txt-1,57,main.txt,50
1,46,ispot2.txt-1,9,shortest.txt,50
1,46,ispot2.txt-1,47,check.txt,24
1,46,ispot2.txt-1,30,main.txt,77
1,46,ispot2.txt-1,98,main.txt,77
1,46,ispot2.txt-1,17,gcd.txt,54
1,46,ispot2.txt-1,34,main.txt,74
1,46,ispot2.txt-1,65,main.txt,68
1,46,ispot2.txt-1,66,main.txt,74
1,46,ispot2.txt-1,38,g.txt,40
1,46,ispot2.txt-1,80,main.txt,78
1,46,ispot2.txt-1,75,powr.txt,25
1,46,ispot2.txt-1,11,main.txt,67
1,46,ispot2.txt-1,94,main.txt,71
1,46,ispot2.txt-1,80,gcd.txt,46
1,46,ispot2.txt-1,12,gcd.txt,52
1,46,ispot2.txt-1,67,main.txt,79
1,46,ispot2.txt-1,57,main.txt,67
1,46,ispot2.txt-1,50,main.txt,77
1,12,main.txt-1,9,shortest.txt,77
1,12,main.txt-1,47,check.txt,71
1,12,main.txt-1,30,main.txt,43
1,12,main.txt-1,98,main.txt,48
1,12,main.txt-1,17,gcd.txt,80
1,12,main.txt-1,34,main.txt,44
1,12,main.txt-1,65,main.txt,26
1,12,main.txt-1,66,main.txt,54
1,12,main.txt-1,38,g.txt,72
1,12,main.txt-1,80,main.txt,49
1,12,main.txt-1,75,powr.txt,70
1,12,main.txt-1,11,main.txt,35
1,12,main.txt-1,94,main.txt,80
1,12,main.txt-1,80,gcd.txt,75
1,12,main.txt-1,12,gcd.txt,80
1,12,main.txt-1,67,main.txt,52
1,12,main.txt-1,57,main.txt,25
1,12,main.txt-1,50,main.txt,55
1,12,main.txt-1,46,ispot2.txt,69
1,41,betterpower.txt-1,9,shortest.txt,47
1,41,betterpower.txt-1,47,check.txt,43
1,41,betterpower.txt-1,30,main.txt,78
1,41,betterpower.txt-1,98,main.txt,77
1,41,betterpower.txt-1,17,gcd.txt,51
1,41,betterpower.txt-1,34,main.txt,74
1,41,betterpower.txt-1,65,main.txt,69
1,41,betterpower.txt-1,66,main.txt,74
1,41,betterpower.txt-1,38,g.txt,37
1,41,betterpower.txt-1,80,main.txt,77
1,41,betterpower.txt-1,75,powr.txt,46
1,41,betterpower.txt-1,11,main.txt,70
1,41,betterpower.txt-1,94,main.txt,70
1,41,betterpower.txt-1,80,gcd.txt,32
1,41,betterpower.txt-1,12,gcd.txt,51
1,41,betterpower.txt-1,67,main.txt,79
1,41,betterpower.txt-1,57,main.txt,70
1,41,betterpower.txt-1,50,main.txt,77
1,41,betterpower.txt-1,46,ispot2.txt,49
1,41,betterpower.txt-1,12,main.txt,70
1,24,euclid.txt-1,9,shortest.txt,55
1,24,euclid.txt-1,47,check.txt,58
1,24,euclid.txt-1,30,main.txt,82
1,24,euclid.txt-1,98,main.txt,81
1,24,euclid.txt-1,17,gcd.txt,43
1,24,euclid.txt-1,34,main.txt,79
1,24,euclid.txt-1,65,main.txt,75
1,24,euclid.txt-1,66,main.txt,82
1,24,euclid.txt-1,38,g.txt,58
1,24,euclid.txt-1,80,main.txt,82
1,24,euclid.txt-1,75,powr.txt,62
1,24,euclid.txt-1,11,main.txt,75
1,24,euclid.txt-1,94,main.txt,43
