Study-Object,Files,Methods,Files,Methods,LevenDistance
7,77,main.txt-7,65,sol.txt,84,
7,57,read_file_char_line.txt-7,68,main.txt,68,
7,57,read_file_char_line.txt-7,67,cmpldd.txt,71,
7,57,read_file_char_line.txt-7,01,calc.txt,60,
7,57,read_file_char_line.txt-7,22,main.txt,60,
7,57,read_file_char_line.txt-7,28,main.txt,57,
7,57,read_file_char_line.txt-7,67,cmpcd.txt,81,
7,57,read_file_char_line.txt-7,57,comparedouble.txt,73,
7,57,read_file_char_line.txt-7,66,sort.txt,61,
7,57,read_file_char_line.txt-7,32,main.txt,59,
7,57,read_file_char_line.txt-7,83,swap.txt,80,
7,57,read_file_char_line.txt-7,84,solve.txt,62,
7,57,read_file_char_line.txt-7,84,main.txt,70,
7,57,read_file_char_line.txt-7,21,sort.txt,53,
7,57,read_file_char_line.txt-7,55,main.txt,60,
7,57,read_file_char_line.txt-7,67,cmpid.txt,81,
7,57,read_file_char_line.txt-7,65,sol.txt,69,
7,57,read_file_char_line.txt-7,77,main.txt,70,
7,57,compareinteger.txt-7,68,main.txt,83,
7,57,compareinteger.txt-7,67,cmpldd.txt,29,
7,57,compareinteger.txt-7,01,calc.txt,55,
7,57,compareinteger.txt-7,22,main.txt,74,
7,57,compareinteger.txt-7,28,main.txt,78,
7,57,compareinteger.txt-7,67,cmpcd.txt,44,
7,57,compareinteger.txt-7,57,comparedouble.txt,10,
7,57,compareinteger.txt-7,66,sort.txt,59,
7,57,compareinteger.txt-7,32,main.txt,79,
7,57,compareinteger.txt-7,83,swap.txt,55,
7,57,compareinteger.txt-7,84,solve.txt,78,
7,57,compareinteger.txt-7,84,main.txt,62,
7,57,compareinteger.txt-7,21,sort.txt,61,
7,57,compareinteger.txt-7,55,main.txt,75,
7,57,compareinteger.txt-7,67,cmpid.txt,43,
7,57,compareinteger.txt-7,65,sol.txt,55,
7,57,compareinteger.txt-7,77,main.txt,86,
7,57,compareinteger.txt-7,57,read_file_char_line.txt,72,
7,35,comp.txt-7,68,main.txt,87,
7,35,comp.txt-7,67,cmpldd.txt,49,
7,35,comp.txt-7,01,calc.txt,65,
7,35,comp.txt-7,22,main.txt,80,
7,35,comp.txt-7,28,main.txt,83,
7,35,comp.txt-7,67,cmpcd.txt,30,
7,35,comp.txt-7,57,comparedouble.txt,49,
7,35,comp.txt-7,66,sort.txt,71,
7,35,comp.txt-7,32,main.txt,84,
7,35,comp.txt-7,83,swap.txt,52,
7,35,comp.txt-7,84,solve.txt,84,
7,35,comp.txt-7,84,main.txt,58,
7,35,comp.txt-7,21,sort.txt,74,
7,35,comp.txt-7,55,main.txt,81,
7,35,comp.txt-7,67,cmpid.txt,21,
7,35,comp.txt-7,65,sol.txt,61,
7,35,comp.txt-7,77,main.txt,90,
7,35,comp.txt-7,57,read_file_char_line.txt,77,
7,35,comp.txt-7,57,compareinteger.txt,46,
7,57,comparestring.txt-7,68,main.txt,86,
7,57,comparestring.txt-7,67,cmpldd.txt,57,
7,57,comparestring.txt-7,01,calc.txt,71,
7,57,comparestring.txt-7,22,main.txt,78,
7,57,comparestring.txt-7,28,main.txt,83,
7,57,comparestring.txt-7,67,cmpcd.txt,40,
7,57,comparestring.txt-7,57,comparedouble.txt,51,
7,57,comparestring.txt-7,66,sort.txt,74,
7,57,comparestring.txt-7,32,main.txt,84,
7,57,comparestring.txt-7,83,swap.txt,55,
7,57,comparestring.txt-7,84,solve.txt,83,
7,57,comparestring.txt-7,84,main.txt,70,
7,57,comparestring.txt-7,21,sort.txt,76,
7,57,comparestring.txt-7,55,main.txt,80,
7,57,comparestring.txt-7,67,cmpid.txt,42,
7,57,comparestring.txt-7,65,sol.txt,68,
7,57,comparestring.txt-7,77,main.txt,88,
7,57,comparestring.txt-7,57,read_file_char_line.txt,80,
7,57,comparestring.txt-7,57,compareinteger.txt,49,
7,57,comparestring.txt-7,35,comp.txt,53,
7,05,multiplyarray.txt-7,68,main.txt,60,
7,05,multiplyarray.txt-7,67,cmpldd.txt,82,
7,05,multiplyarray.txt-7,01,calc.txt,75,
7,05,multiplyarray.txt-7,22,main.txt,64,
7,05,multiplyarray.txt-7,28,main.txt,52,
7,05,multiplyarray.txt-7,67,cmpcd.txt,87,
7,05,multiplyarray.txt-7,57,comparedouble.txt,83,
7,05,multiplyarray.txt-7,66,sort.txt,75,
7,05,multiplyarray.txt-7,32,main.txt,53,
7,05,multiplyarray.txt-7,83,swap.txt,89,
7,05,multiplyarray.txt-7,84,solve.txt,53,
7,05,multiplyarray.txt-7,84,main.txt,82,
7,05,multiplyarray.txt-7,21,sort.txt,66,
7,05,multiplyarray.txt-7,55,main.txt,61,
7,05,multiplyarray.txt-7,67,cmpid.txt,88,
7,05,multiplyarray.txt-7,65,sol.txt,81,
7,05,multiplyarray.txt-7,77,main.txt,54,
7,05,multiplyarray.txt-7,57,read_file_char_line.txt,60,
7,05,multiplyarray.txt-7,57,compareinteger.txt,83,
7,05,multiplyarray.txt-7,35,comp.txt,88,
7,05,multiplyarray.txt-7,57,comparestring.txt,88,
7,93,partition.txt-7,68,main.txt,81,
7,93,partition.txt-7,67,cmpldd.txt,55,
7,93,partition.txt-7,01,calc.txt,42,
7,93,partition.txt-7,22,main.txt,68,
7,93,partition.txt-7,28,main.txt,72,
7,93,partition.txt-7,67,cmpcd.txt,66,
7,93,partition.txt-7,57,comparedouble.txt,54,
7,93,partition.txt-7,66,sort.txt,40,
7,93,partition.txt-7,32,main.txt,73,
7,93,partition.txt-7,83,swap.txt,60,
7,93,partition.txt-7,84,solve.txt,73,
7,93,partition.txt-7,84,main.txt,48,
7,93,partition.txt-7,21,sort.txt,50,
7,93,partition.txt-7,55,main.txt,69,
7,93,partition.txt-7,67,cmpid.txt,65,
7,93,partition.txt-7,65,sol.txt,51,
7,93,partition.txt-7,77,main.txt,84,
7,93,partition.txt-7,57,read_file_char_line.txt,64,
7,93,partition.txt-7,57,compareinteger.txt,51,
7,93,partition.txt-7,35,comp.txt,66,
7,93,partition.txt-7,57,comparestring.txt,68,
7,93,partition.txt-7,05,multiplyarray.txt,78,
7,57,comparefloat.txt-7,68,main.txt,83,
7,57,comparefloat.txt-7,67,cmpldd.txt,29,
7,57,comparefloat.txt-7,01,calc.txt,56,
7,57,comparefloat.txt-7,22,main.txt,75,
7,57,comparefloat.txt-7,28,main.txt,79,
7,57,comparefloat.txt-7,67,cmpcd.txt,45,
7,57,comparefloat.txt-7,57,comparedouble.txt,8,
7,57,comparefloat.txt-7,66,sort.txt,58,
7,57,comparefloat.txt-7,32,main.txt,79,
7,57,comparefloat.txt-7,83,swap.txt,57,
7,57,comparefloat.txt-7,84,solve.txt,78,
7,57,comparefloat.txt-7,84,main.txt,63,
7,57,comparefloat.txt-7,21,sort.txt,62,
7,57,comparefloat.txt-7,55,main.txt,76,
7,57,comparefloat.txt-7,67,cmpid.txt,45,
7,57,comparefloat.txt-7,65,sol.txt,55,
7,57,comparefloat.txt-7,77,main.txt,86,
7,57,comparefloat.txt-7,57,read_file_char_line.txt,72,
7,57,comparefloat.txt-7,57,compareinteger.txt,8,
7,57,comparefloat.txt-7,35,comp.txt,48,
7,57,comparefloat.txt-7,57,comparestring.txt,50,
7,57,comparefloat.txt-7,05,multiplyarray.txt,83,
7,57,comparefloat.txt-7,93,partition.txt,52,
7,18,solve.txt-7,68,main.txt,79,
