tool;lang;solset;type;recall
deckard;c;1;f12; 0.000202
deckard;c;1;f123; 0.000202
deckard;c;1;f1234; 0.000202
deckard;c;2;p12; 0.001010
deckard;c;2;p123; 0.008081
deckard;c;2;p1234; 0.008081
deckard;c;2;f12; 0.000000
deckard;c;2;f123; 0.000000
deckard;c;2;f1234; 0.000000
deckard;c;3;p12; 0.001212
deckard;c;3;p123; 0.007879
deckard;c;3;p1234; 0.007879
deckard;c;3;f12; 0.000000
deckard;c;3;f123; 0.000000
deckard;c;3;f1234; 0.000000
deckard;c;4;p12; 0.001010
deckard;c;4;p123; 0.006869
deckard;c;4;p1234; 0.006869
deckard;c;4;f12; 0.000000
deckard;c;4;f123; 0.000000
deckard;c;4;f1234; 0.000000
deckard;c;5;p12; 0.003434
deckard;c;5;p123; 0.023434
deckard;c;5;p1234; 0.023434
deckard;c;5;f12; 0.000000
deckard;c;5;f123; 0.000000
deckard;c;5;f1234; 0.000000
deckard;c;6;p12; 0.007879
deckard;c;6;p123; 0.054141
deckard;c;6;p1234; 0.054141
deckard;c;6;f12; 0.000000
deckard;c;6;f123; 0.000000
deckard;c;6;f1234; 0.000000
deckard;c;7;p12; 0.007879
deckard;c;7;p123; 0.024242
deckard;c;7;p1234; 0.024242
deckard;c;7;f12; 0.000000
deckard;c;7;f123; 0.000000
deckard;c;7;f1234; 0.000000
deckard;c;8;p12; 0.001414
deckard;c;8;p123; 0.006465
deckard;c;8;p1234; 0.006465
deckard;c;8;f12; 0.000000
deckard;c;8;f123; 0.000000
deckard;c;8;f1234; 0.000000
deckard;c;9;p12; 0.003838
deckard;c;9;p123; 0.012929
deckard;c;9;p1234; 0.012929
deckard;c;9;f12; 0.000404
deckard;c;9;f123; 0.000404
deckard;c;9;f1234; 0.000404
deckard;c;10;p12; 0.001616
deckard;c;10;p123; 0.005051
deckard;c;10;p1234; 0.005051
deckard;c;10;f12; 0.000202
deckard;c;10;f123; 0.000202
deckard;c;10;f1234; 0.000202
deckard;c;11;p12; 0.002626
