Study-Object,Files,Methods,Files,Methods,LevenDistance
9,20,main.txt-9,78,min.txt,93,
9,93,min.txt-9,78,min.txt,10,
9,93,min.txt-9,20,main.txt,93,
9,75,main.txt-9,78,min.txt,91,
9,75,main.txt-9,20,main.txt,40,
9,75,main.txt-9,93,min.txt,92,
9,99,main.txt-9,78,min.txt,94,
9,99,main.txt-9,20,main.txt,44,
9,99,main.txt-9,93,min.txt,94,
9,99,main.txt-9,75,main.txt,42,
9,51,reader_next.txt-9,78,min.txt,48,
9,51,reader_next.txt-9,20,main.txt,93,
9,51,reader_next.txt-9,93,min.txt,43,
9,51,reader_next.txt-9,75,main.txt,92,
9,51,reader_next.txt-9,99,main.txt,94,
9,72,main.txt-9,78,min.txt,91,
9,72,main.txt-9,20,main.txt,39,
9,72,main.txt-9,93,min.txt,91,
9,72,main.txt-9,75,main.txt,43,
9,72,main.txt-9,99,main.txt,49,
9,72,main.txt-9,51,reader_next.txt,92,
9,81,readline.txt-9,78,min.txt,77,
9,81,readline.txt-9,20,main.txt,79,
9,81,readline.txt-9,93,min.txt,78,
9,81,readline.txt-9,75,main.txt,76,
9,81,readline.txt-9,99,main.txt,82,
9,81,readline.txt-9,51,reader_next.txt,77,
9,81,readline.txt-9,72,main.txt,74,
9,88,findwinner.txt-9,78,min.txt,87,
9,88,findwinner.txt-9,20,main.txt,63,
9,88,findwinner.txt-9,93,min.txt,88,
9,88,findwinner.txt-9,75,main.txt,62,
9,88,findwinner.txt-9,99,main.txt,67,
9,88,findwinner.txt-9,51,reader_next.txt,88,
9,88,findwinner.txt-9,72,main.txt,55,
9,88,findwinner.txt-9,81,readline.txt,64,
9,79,readint.txt-9,78,min.txt,49,
9,79,readint.txt-9,20,main.txt,95,
9,79,readint.txt-9,93,min.txt,46,
9,79,readint.txt-9,75,main.txt,94,
9,79,readint.txt-9,99,main.txt,95,
9,79,readint.txt-9,51,reader_next.txt,46,
9,79,readint.txt-9,72,main.txt,93,
9,79,readint.txt-9,81,readline.txt,82,
9,79,readint.txt-9,88,findwinner.txt,91,
9,64,compare.txt-9,78,min.txt,40,
9,64,compare.txt-9,20,main.txt,92,
9,64,compare.txt-9,93,min.txt,44,
9,64,compare.txt-9,75,main.txt,91,
9,64,compare.txt-9,99,main.txt,93,
9,64,compare.txt-9,51,reader_next.txt,56,
9,64,compare.txt-9,72,main.txt,90,
9,64,compare.txt-9,81,readline.txt,73,
9,64,compare.txt-9,88,findwinner.txt,85,
9,64,compare.txt-9,79,readint.txt,57,
9,27,readstuff.txt-9,78,min.txt,68,
