Study-Object,Files,Methods,Files,Methods,LevenDistance
11,54,find_all.txt-11,11,next.txt,58,
11,59,main.txt-11,11,next.txt,67,
11,59,main.txt-11,54,find_all.txt,78,
11,70,countdigit.txt-11,11,next.txt,71,
11,70,countdigit.txt-11,54,find_all.txt,58,
11,70,countdigit.txt-11,59,main.txt,88,
11,69,revstr.txt-11,11,next.txt,63,
11,69,revstr.txt-11,54,find_all.txt,60,
11,69,revstr.txt-11,59,main.txt,74,
11,69,revstr.txt-11,70,countdigit.txt,70,
11,02,verificapar.txt-11,11,next.txt,50,
11,02,verificapar.txt-11,54,find_all.txt,50,
11,02,verificapar.txt-11,59,main.txt,69,
11,02,verificapar.txt-11,70,countdigit.txt,70,
11,02,verificapar.txt-11,69,revstr.txt,60,
11,37,solve.txt-11,11,next.txt,49,
11,37,solve.txt-11,54,find_all.txt,56,
11,37,solve.txt-11,59,main.txt,65,
11,37,solve.txt-11,70,countdigit.txt,75,
11,37,solve.txt-11,69,revstr.txt,64,
11,37,solve.txt-11,02,verificapar.txt,38,
11,64,ecrire_resultats.txt-11,11,next.txt,68,
11,64,ecrire_resultats.txt-11,54,find_all.txt,58,
11,64,ecrire_resultats.txt-11,59,main.txt,84,
11,64,ecrire_resultats.txt-11,70,countdigit.txt,44,
11,64,ecrire_resultats.txt-11,69,revstr.txt,68,
11,64,ecrire_resultats.txt-11,02,verificapar.txt,68,
11,64,ecrire_resultats.txt-11,37,solve.txt,72,
11,59,power.txt-11,11,next.txt,65,
11,59,power.txt-11,54,find_all.txt,56,
11,59,power.txt-11,59,main.txt,85,
11,59,power.txt-11,70,countdigit.txt,42,
11,59,power.txt-11,69,revstr.txt,66,
11,59,power.txt-11,02,verificapar.txt,63,
11,59,power.txt-11,37,solve.txt,68,
11,59,power.txt-11,64,ecrire_resultats.txt,57,
11,93,countdig.txt-11,11,next.txt,69,
11,93,countdig.txt-11,54,find_all.txt,60,
11,93,countdig.txt-11,59,main.txt,87,
11,93,countdig.txt-11,70,countdigit.txt,22,
11,93,countdig.txt-11,69,revstr.txt,69,
11,93,countdig.txt-11,02,verificapar.txt,69,
11,93,countdig.txt-11,37,solve.txt,73,
11,93,countdig.txt-11,64,ecrire_resultats.txt,51,
11,93,countdig.txt-11,59,power.txt,32,
11,21,rotate.txt-11,11,next.txt,64,
11,21,rotate.txt-11,54,find_all.txt,52,
11,21,rotate.txt-11,59,main.txt,79,
11,21,rotate.txt-11,70,countdigit.txt,64,
11,21,rotate.txt-11,69,revstr.txt,59,
11,21,rotate.txt-11,02,verificapar.txt,53,
11,21,rotate.txt-11,37,solve.txt,61,
11,21,rotate.txt-11,64,ecrire_resultats.txt,67,
11,21,rotate.txt-11,59,power.txt,60,
11,21,rotate.txt-11,93,countdig.txt,65,
11,68,digit.txt-11,11,next.txt,65,
11,68,digit.txt-11,54,find_all.txt,55,
11,68,digit.txt-11,59,main.txt,84,
11,68,digit.txt-11,70,countdigit.txt,56,
11,68,digit.txt-11,69,revstr.txt,67,
11,68,digit.txt-11,02,verificapar.txt,57,
11,68,digit.txt-11,37,solve.txt,63,
11,68,digit.txt-11,64,ecrire_resultats.txt,64,
