Study-object,Files,Methods,Files,Methods,LevenDistance
14,20,sort.txt-14,99,match.txt,45,
14,53,gettoken.txt-14,43,main.txt,60,
14,53,gettoken.txt-14,41,main.txt,69,
14,53,gettoken.txt-14,15,setup.txt,72,
14,53,gettoken.txt-14,55,main.txt,66,
14,53,gettoken.txt-14,80,addword.txt,72,
14,53,gettoken.txt-14,36,bit_for.txt,91,
14,53,gettoken.txt-14,95,match_pattern.txt,66,
14,53,gettoken.txt-14,76,buffercanbe.txt,58,
14,53,gettoken.txt-14,30,main.txt,61,
14,53,gettoken.txt-14,61,main.txt,62,
14,53,gettoken.txt-14,52,main.txt,87,
14,53,gettoken.txt-14,63,transfer.txt,61,
14,53,gettoken.txt-14,93,init.txt,71,
14,53,gettoken.txt-14,36,has_bit.txt,89,
14,53,gettoken.txt-14,48,search.txt,71,
14,53,gettoken.txt-14,99,match.txt,63,
14,53,gettoken.txt-14,20,sort.txt,61,
14,93,find.txt-14,43,main.txt,69,
14,93,find.txt-14,41,main.txt,80,
14,93,find.txt-14,15,setup.txt,68,
14,93,find.txt-14,55,main.txt,76,
14,93,find.txt-14,80,addword.txt,59,
14,93,find.txt-14,36,bit_for.txt,85,
14,93,find.txt-14,95,match_pattern.txt,64,
14,93,find.txt-14,76,buffercanbe.txt,55,
14,93,find.txt-14,30,main.txt,72,
14,93,find.txt-14,61,main.txt,70,
14,93,find.txt-14,52,main.txt,80,
14,93,find.txt-14,63,transfer.txt,53,
14,93,find.txt-14,93,init.txt,68,
14,93,find.txt-14,36,has_bit.txt,81,
14,93,find.txt-14,48,search.txt,61,
14,93,find.txt-14,99,match.txt,53,
14,93,find.txt-14,20,sort.txt,56,
14,93,find.txt-14,53,gettoken.txt,62,
14,36,main.txt-14,43,main.txt,47,
14,36,main.txt-14,41,main.txt,44,
14,36,main.txt-14,15,setup.txt,82,
14,36,main.txt-14,55,main.txt,45,
14,36,main.txt-14,80,addword.txt,82,
14,36,main.txt-14,36,bit_for.txt,95,
14,36,main.txt-14,95,match_pattern.txt,59,
14,36,main.txt-14,76,buffercanbe.txt,74,
14,36,main.txt-14,30,main.txt,43,
14,36,main.txt-14,61,main.txt,48,
14,36,main.txt-14,52,main.txt,91,
14,36,main.txt-14,63,transfer.txt,76,
14,36,main.txt-14,93,init.txt,81,
14,36,main.txt-14,36,has_bit.txt,94,
14,36,main.txt-14,48,search.txt,83,
14,36,main.txt-14,99,match.txt,77,
14,36,main.txt-14,20,sort.txt,72,
14,36,main.txt-14,53,gettoken.txt,63,
14,36,main.txt-14,93,find.txt,77,
14,71,trimline.txt-14,43,main.txt,73,
14,71,trimline.txt-14,41,main.txt,84,
14,71,trimline.txt-14,15,setup.txt,64,
14,71,trimline.txt-14,55,main.txt,81,
14,71,trimline.txt-14,80,addword.txt,35,
14,71,trimline.txt-14,36,bit_for.txt,79,
14,71,trimline.txt-14,95,match_pattern.txt,69,
14,71,trimline.txt-14,76,buffercanbe.txt,49,
14,71,trimline.txt-14,30,main.txt,77,
14,71,trimline.txt-14,61,main.txt,74,
14,71,trimline.txt-14,52,main.txt,76,
14,71,trimline.txt-14,63,transfer.txt,48,
14,71,trimline.txt-14,93,init.txt,57,
14,71,trimline.txt-14,36,has_bit.txt,78,
14,71,trimline.txt-14,48,search.txt,48,
14,71,trimline.txt-14,99,match.txt,42,
14,71,trimline.txt-14,20,sort.txt,52,
14,71,trimline.txt-14,53,gettoken.txt,69,
14,71,trimline.txt-14,93,find.txt,53,
14,71,trimline.txt-14,36,main.txt,81,
14,18,pattern_poss_eq.txt-14,43,main.txt,76,
14,18,pattern_poss_eq.txt-14,41,main.txt,85,
14,18,pattern_poss_eq.txt-14,15,setup.txt,68,
14,18,pattern_poss_eq.txt-14,55,main.txt,82,
14,18,pattern_poss_eq.txt-14,80,addword.txt,41,
14,18,pattern_poss_eq.txt-14,36,bit_for.txt,77,
14,18,pattern_poss_eq.txt-14,95,match_pattern.txt,70,
14,18,pattern_poss_eq.txt-14,76,buffercanbe.txt,54,
14,18,pattern_poss_eq.txt-14,30,main.txt,79,
14,18,pattern_poss_eq.txt-14,61,main.txt,76,
14,18,pattern_poss_eq.txt-14,52,main.txt,75,
14,18,pattern_poss_eq.txt-14,63,transfer.txt,53,
14,18,pattern_poss_eq.txt-14,93,init.txt,59,
14,18,pattern_poss_eq.txt-14,36,has_bit.txt,73,
14,18,pattern_poss_eq.txt-14,48,search.txt,48,
14,18,pattern_poss_eq.txt-14,99,match.txt,48,
14,18,pattern_poss_eq.txt-14,20,sort.txt,56,
14,18,pattern_poss_eq.txt-14,53,gettoken.txt,71,
14,18,pattern_poss_eq.txt-14,93,find.txt,57,
14,18,pattern_poss_eq.txt-14,36,main.txt,82,
14,18,pattern_poss_eq.txt-14,71,trimline.txt,40,
14,66,main.txt-14,43,main.txt,48,
14,66,main.txt-14,41,main.txt,44,
14,66,main.txt-14,15,setup.txt,84,
14,66,main.txt-14,55,main.txt,31,
14,66,main.txt-14,80,addword.txt,85,
14,66,main.txt-14,36,bit_for.txt,96,
14,66,main.txt-14,95,match_pattern.txt,64,
14,66,main.txt-14,76,buffercanbe.txt,77,
14,66,main.txt-14,30,main.txt,46,
14,66,main.txt-14,61,main.txt,50,
14,66,main.txt-14,52,main.txt,93,
14,66,main.txt-14,63,transfer.txt,79,
14,66,main.txt-14,93,init.txt,86,
14,66,main.txt-14,36,has_bit.txt,95,
14,66,main.txt-14,48,search.txt,86,
14,66,main.txt-14,99,match.txt,81,
14,66,main.txt-14,20,sort.txt,77,
14,66,main.txt-14,53,gettoken.txt,70,
14,66,main.txt-14,93,find.txt,80,
14,66,main.txt-14,36,main.txt,48,
14,66,main.txt-14,71,trimline.txt,84,
14,66,main.txt-14,18,pattern_poss_eq.txt,85,
14,50,main.txt-14,43,main.txt,45,
14,50,main.txt-14,41,main.txt,71,
14,50,main.txt-14,15,setup.txt,59,
14,50,main.txt-14,55,main.txt,63,
14,50,main.txt-14,80,addword.txt,62,
14,50,main.txt-14,36,bit_for.txt,88,
14,50,main.txt-14,95,match_pattern.txt,63,
14,50,main.txt-14,76,buffercanbe.txt,49,
14,50,main.txt-14,30,main.txt,55,
14,50,main.txt-14,61,main.txt,52,
14,50,main.txt-14,52,main.txt,78,
14,50,main.txt-14,63,transfer.txt,54,
14,50,main.txt-14,93,init.txt,59,
14,50,main.txt-14,36,has_bit.txt,86,
14,50,main.txt-14,48,search.txt,60,
14,50,main.txt-14,99,match.txt,53,
14,50,main.txt-14,20,sort.txt,55,
14,50,main.txt-14,53,gettoken.txt,61,
14,50,main.txt-14,93,find.txt,60,
14,50,main.txt-14,36,main.txt,64,
14,50,main.txt-14,71,trimline.txt,60,
14,50,main.txt-14,18,pattern_poss_eq.txt,63,
14,50,main.txt-14,66,main.txt,70,
14,18,search.txt-14,43,main.txt,72,
14,18,search.txt-14,41,main.txt,81,
14,18,search.txt-14,15,setup.txt,69,
14,18,search.txt-14,55,main.txt,78,
14,18,search.txt-14,80,addword.txt,60,
14,18,search.txt-14,36,bit_for.txt,85,
14,18,search.txt-14,95,match_pattern.txt,67,
14,18,search.txt-14,76,buffercanbe.txt,61,
14,18,search.txt-14,30,main.txt,74,
14,18,search.txt-14,61,main.txt,73,
14,18,search.txt-14,52,main.txt,80,
14,18,search.txt-14,63,transfer.txt,57,
14,18,search.txt-14,93,init.txt,68,
14,18,search.txt-14,36,has_bit.txt,81,
14,18,search.txt-14,48,search.txt,61,
14,18,search.txt-14,99,match.txt,55,
14,18,search.txt-14,20,sort.txt,57,
14,18,search.txt-14,53,gettoken.txt,63,
14,18,search.txt-14,93,find.txt,47,
14,18,search.txt-14,36,main.txt,78,
14,18,search.txt-14,71,trimline.txt,59,
14,18,search.txt-14,18,pattern_poss_eq.txt,57,
14,18,search.txt-14,66,main.txt,81,
14,18,search.txt-14,50,main.txt,64,
14,90,main.txt-14,43,main.txt,58,
14,90,main.txt-14,41,main.txt,76,
14,90,main.txt-14,15,setup.txt,52,
14,90,main.txt-14,55,main.txt,71,
14,90,main.txt-14,80,addword.txt,63,
14,90,main.txt-14,36,bit_for.txt,86,
14,90,main.txt-14,95,match_pattern.txt,69,
14,90,main.txt-14,76,buffercanbe.txt,56,
14,90,main.txt-14,30,main.txt,63,
14,90,main.txt-14,61,main.txt,59,
14,90,main.txt-14,52,main.txt,74,
14,90,main.txt-14,63,transfer.txt,58,
14,90,main.txt-14,93,init.txt,56,
14,90,main.txt-14,36,has_bit.txt,84,
14,90,main.txt-14,48,search.txt,57,
14,90,main.txt-14,99,match.txt,55,
14,90,main.txt-14,20,sort.txt,63,
14,90,main.txt-14,53,gettoken.txt,67,
14,90,main.txt-14,93,find.txt,67,
14,90,main.txt-14,36,main.txt,70,
14,90,main.txt-14,71,trimline.txt,61,
14,90,main.txt-14,18,pattern_poss_eq.txt,64,
14,90,main.txt-14,66,main.txt,76,
14,90,main.txt-14,50,main.txt,28,
14,90,main.txt-14,18,search.txt,71,
14,94,main.txt-14,43,main.txt,41,
14,94,main.txt-14,41,main.txt,48,
14,94,main.txt-14,15,setup.txt,77,
14,94,main.txt-14,55,main.txt,44,
14,94,main.txt-14,80,addword.txt,79,
14,94,main.txt-14,36,bit_for.txt,94,
14,94,main.txt-14,95,match_pattern.txt,61,
14,94,main.txt-14,76,buffercanbe.txt,68,
14,94,main.txt-14,30,main.txt,46,
14,94,main.txt-14,61,main.txt,48,
14,94,main.txt-14,52,main.txt,90,
14,94,main.txt-14,63,transfer.txt,71,
14,94,main.txt-14,93,init.txt,78,
14,94,main.txt-14,36,has_bit.txt,93,
14,94,main.txt-14,48,search.txt,80,
14,94,main.txt-14,99,match.txt,73,
14,94,main.txt-14,20,sort.txt,69,
14,94,main.txt-14,53,gettoken.txt,59,
14,94,main.txt-14,93,find.txt,72,
14,94,main.txt-14,36,main.txt,42,
14,94,main.txt-14,71,trimline.txt,78,
14,94,main.txt-14,18,pattern_poss_eq.txt,79,
14,94,main.txt-14,66,main.txt,51,
14,94,main.txt-14,50,main.txt,56,
14,94,main.txt-14,18,search.txt,74,
14,94,main.txt-14,90,main.txt,63,
14,60,main.txt-14,43,main.txt,60,
14,60,main.txt-14,41,main.txt,76,
14,60,main.txt-14,15,setup.txt,50,
14,60,main.txt-14,55,main.txt,72,
14,60,main.txt-14,80,addword.txt,60,
14,60,main.txt-14,36,bit_for.txt,85,
14,60,main.txt-14,95,match_pattern.txt,69,
14,60,main.txt-14,76,buffercanbe.txt,59,
14,60,main.txt-14,30,main.txt,67,
14,60,main.txt-14,61,main.txt,63,
14,60,main.txt-14,52,main.txt,72,
14,60,main.txt-14,63,transfer.txt,53,
14,60,main.txt-14,93,init.txt,54,
14,60,main.txt-14,36,has_bit.txt,81,
14,60,main.txt-14,48,search.txt,50,
14,60,main.txt-14,99,match.txt,55,
14,60,main.txt-14,20,sort.txt,58,
14,60,main.txt-14,53,gettoken.txt,66,
14,60,main.txt-14,93,find.txt,66,
14,60,main.txt-14,36,main.txt,73,
