Study-Object,Files,Methods,Files,Methods,LevenDistance
12,91,solve.txt-12,29,main.txt,61,
12,43,main.txt-12,29,main.txt,43,
12,43,main.txt-12,91,solve.txt,70,
12,66,main.txt-12,29,main.txt,43,
12,66,main.txt-12,91,solve.txt,63,
12,66,main.txt-12,43,main.txt,52,
12,83,solve.txt-12,29,main.txt,53,
12,83,solve.txt-12,91,solve.txt,56,
12,83,solve.txt-12,43,main.txt,49,
12,83,solve.txt-12,66,main.txt,50,
12,35,gcd.txt-12,29,main.txt,85,
12,35,gcd.txt-12,91,solve.txt,76,
12,35,gcd.txt-12,43,main.txt,90,
12,35,gcd.txt-12,66,main.txt,89,
12,35,gcd.txt-12,83,solve.txt,88,
12,82,main.txt-12,29,main.txt,36,
12,82,main.txt-12,91,solve.txt,58,
12,82,main.txt-12,43,main.txt,47,
12,82,main.txt-12,66,main.txt,35,
12,82,main.txt-12,83,solve.txt,51,
12,82,main.txt-12,35,gcd.txt,85,
12,90,readfile.txt-12,29,main.txt,65,
12,90,readfile.txt-12,91,solve.txt,65,
12,90,readfile.txt-12,43,main.txt,61,
12,90,readfile.txt-12,66,main.txt,67,
12,90,readfile.txt-12,83,solve.txt,62,
12,90,readfile.txt-12,35,gcd.txt,86,
12,90,readfile.txt-12,82,main.txt,68,
12,47,lcm.txt-12,29,main.txt,83,
12,47,lcm.txt-12,91,solve.txt,72,
12,47,lcm.txt-12,43,main.txt,88,
12,47,lcm.txt-12,66,main.txt,87,
12,47,lcm.txt-12,83,solve.txt,86,
12,47,lcm.txt-12,35,gcd.txt,32,
12,47,lcm.txt-12,82,main.txt,84,
12,47,lcm.txt-12,90,readfile.txt,83,
12,84,gcd.txt-12,29,main.txt,78,
12,84,gcd.txt-12,91,solve.txt,72,
12,84,gcd.txt-12,43,main.txt,85,
12,84,gcd.txt-12,66,main.txt,83,
12,84,gcd.txt-12,83,solve.txt,81,
12,84,gcd.txt-12,35,gcd.txt,45,
12,84,gcd.txt-12,82,main.txt,79,
12,84,gcd.txt-12,90,readfile.txt,82,
12,84,gcd.txt-12,47,lcm.txt,24,
12,30,main.txt-12,29,main.txt,49,
12,30,main.txt-12,91,solve.txt,69,
12,30,main.txt-12,43,main.txt,30,
12,30,main.txt-12,66,main.txt,55,
12,30,main.txt-12,83,solve.txt,49,
12,30,main.txt-12,35,gcd.txt,88,
12,30,main.txt-12,82,main.txt,44,
12,30,main.txt-12,90,readfile.txt,60,
12,30,main.txt-12,47,lcm.txt,87,
12,30,main.txt-12,84,gcd.txt,83,
12,05,main.txt-12,29,main.txt,43,
12,05,main.txt-12,91,solve.txt,64,
12,05,main.txt-12,43,main.txt,33,
12,05,main.txt-12,66,main.txt,49,
12,05,main.txt-12,83,solve.txt,48,
12,05,main.txt-12,35,gcd.txt,88,
12,05,main.txt-12,82,main.txt,41,
12,05,main.txt-12,90,readfile.txt,64,
12,05,main.txt-12,47,lcm.txt,87,
12,05,main.txt-12,84,gcd.txt,83,
12,05,main.txt-12,30,main.txt,44,
12,84,cache.txt-12,29,main.txt,70,
12,84,cache.txt-12,91,solve.txt,56,
12,84,cache.txt-12,43,main.txt,79,
12,84,cache.txt-12,66,main.txt,74,
12,84,cache.txt-12,83,solve.txt,74,
12,84,cache.txt-12,35,gcd.txt,67,
12,84,cache.txt-12,82,main.txt,68,
12,84,cache.txt-12,90,readfile.txt,76,
12,84,cache.txt-12,47,lcm.txt,61,
12,84,cache.txt-12,84,gcd.txt,65,
12,84,cache.txt-12,30,main.txt,77,
12,84,cache.txt-12,05,main.txt,76,
12,08,main.txt-12,29,main.txt,53,
12,08,main.txt-12,91,solve.txt,67,
12,08,main.txt-12,43,main.txt,37,
12,08,main.txt-12,66,main.txt,47,
12,08,main.txt-12,83,solve.txt,44,
12,08,main.txt-12,35,gcd.txt,90,
12,08,main.txt-12,82,main.txt,47,
12,08,main.txt-12,90,readfile.txt,65,
12,08,main.txt-12,47,lcm.txt,88,
12,08,main.txt-12,84,gcd.txt,85,
12,08,main.txt-12,30,main.txt,36,
12,08,main.txt-12,05,main.txt,40,
12,08,main.txt-12,84,cache.txt,79,
12,42,main.txt-12,29,main.txt,56,
12,42,main.txt-12,91,solve.txt,75,
12,42,main.txt-12,43,main.txt,52,
12,42,main.txt-12,66,main.txt,49,
12,42,main.txt-12,83,solve.txt,58,
12,42,main.txt-12,35,gcd.txt,92,
12,42,main.txt-12,82,main.txt,57,
12,42,main.txt-12,90,readfile.txt,71,
12,42,main.txt-12,47,lcm.txt,91,
12,42,main.txt-12,84,gcd.txt,89,
12,42,main.txt-12,30,main.txt,55,
12,42,main.txt-12,05,main.txt,46,
12,42,main.txt-12,84,cache.txt,84,
12,42,main.txt-12,08,main.txt,49,
12,60,main.txt-12,29,main.txt,68,
12,60,main.txt-12,91,solve.txt,80,
12,60,main.txt-12,43,main.txt,60,
12,60,main.txt-12,66,main.txt,62,
12,60,main.txt-12,83,solve.txt,68,
12,60,main.txt-12,35,gcd.txt,94,
12,60,main.txt-12,82,main.txt,67,
12,60,main.txt-12,90,readfile.txt,75,
12,60,main.txt-12,47,lcm.txt,93,
12,60,main.txt-12,84,gcd.txt,92,
12,60,main.txt-12,30,main.txt,61,
12,60,main.txt-12,05,main.txt,62,
12,60,main.txt-12,84,cache.txt,87,
12,60,main.txt-12,08,main.txt,58,
12,60,main.txt-12,42,main.txt,50,
12,40,main.txt-12,29,main.txt,43,
12,40,main.txt-12,91,solve.txt,63,
12,40,main.txt-12,43,main.txt,51,
12,40,main.txt-12,66,main.txt,41,
12,40,main.txt-12,83,solve.txt,55,
12,40,main.txt-12,35,gcd.txt,87,
12,40,main.txt-12,82,main.txt,38,
12,40,main.txt-12,90,readfile.txt,64,
12,40,main.txt-12,47,lcm.txt,85,
12,40,main.txt-12,84,gcd.txt,81,
12,40,main.txt-12,30,main.txt,53,
12,40,main.txt-12,05,main.txt,49,
12,40,main.txt-12,84,cache.txt,72,
12,40,main.txt-12,08,main.txt,50,
12,40,main.txt-12,42,main.txt,55,
12,40,main.txt-12,60,main.txt,64,
12,04,main.txt-12,29,main.txt,58,
12,04,main.txt-12,91,solve.txt,61,
12,04,main.txt-12,43,main.txt,67,
12,04,main.txt-12,66,main.txt,70,
12,04,main.txt-12,83,solve.txt,64,
12,04,main.txt-12,35,gcd.txt,77,
12,04,main.txt-12,82,main.txt,64,
12,04,main.txt-12,90,readfile.txt,67,
12,04,main.txt-12,47,lcm.txt,75,
12,04,main.txt-12,84,gcd.txt,65,
12,04,main.txt-12,30,main.txt,63,
12,04,main.txt-12,05,main.txt,60,
12,04,main.txt-12,84,cache.txt,64,
12,04,main.txt-12,08,main.txt,66,
12,04,main.txt-12,42,main.txt,75,
12,04,main.txt-12,60,main.txt,81,
12,04,main.txt-12,40,main.txt,66,
12,20,c_ac.txt-12,29,main.txt,87,
12,20,c_ac.txt-12,91,solve.txt,82,
12,20,c_ac.txt-12,43,main.txt,91,
12,20,c_ac.txt-12,66,main.txt,90,
12,20,c_ac.txt-12,83,solve.txt,89,
12,20,c_ac.txt-12,35,gcd.txt,51,
12,20,c_ac.txt-12,82,main.txt,88,
12,20,c_ac.txt-12,90,readfile.txt,86,
12,20,c_ac.txt-12,47,lcm.txt,52,
12,20,c_ac.txt-12,84,gcd.txt,63,
12,20,c_ac.txt-12,30,main.txt,89,
12,20,c_ac.txt-12,05,main.txt,90,
12,20,c_ac.txt-12,84,cache.txt,75,
12,20,c_ac.txt-12,08,main.txt,91,
12,20,c_ac.txt-12,42,main.txt,93,
12,20,c_ac.txt-12,60,main.txt,95,
12,20,c_ac.txt-12,40,main.txt,89,
12,20,c_ac.txt-12,04,main.txt,79,
12,59,gcd.txt-12,29,main.txt,81,
12,59,gcd.txt-12,91,solve.txt,69,
12,59,gcd.txt-12,43,main.txt,87,
12,59,gcd.txt-12,66,main.txt,85,
12,59,gcd.txt-12,83,solve.txt,83,
12,59,gcd.txt-12,35,gcd.txt,38,
12,59,gcd.txt-12,82,main.txt,80,
12,59,gcd.txt-12,90,readfile.txt,83,
12,59,gcd.txt-12,47,lcm.txt,44,
12,59,gcd.txt-12,84,gcd.txt,58,
12,59,gcd.txt-12,30,main.txt,85,
12,59,gcd.txt-12,05,main.txt,84,
12,59,gcd.txt-12,84,cache.txt,55,
12,59,gcd.txt-12,08,main.txt,86,
12,59,gcd.txt-12,42,main.txt,90,
12,59,gcd.txt-12,60,main.txt,92,
12,59,gcd.txt-12,40,main.txt,83,
12,59,gcd.txt-12,04,main.txt,68,
12,59,gcd.txt-12,20,c_ac.txt,61,
12,07,main.txt-12,29,main.txt,48,
12,07,main.txt-12,91,solve.txt,70,
12,07,main.txt-12,43,main.txt,49,
12,07,main.txt-12,66,main.txt,44,
12,07,main.txt-12,83,solve.txt,54,
12,07,main.txt-12,35,gcd.txt,90,
12,07,main.txt-12,82,main.txt,49,
12,07,main.txt-12,90,readfile.txt,66,
12,07,main.txt-12,47,lcm.txt,89,
12,07,main.txt-12,84,gcd.txt,85,
12,07,main.txt-12,30,main.txt,52,
12,07,main.txt-12,05,main.txt,45,
12,07,main.txt-12,84,cache.txt,79,
12,07,main.txt-12,08,main.txt,52,
12,07,main.txt-12,42,main.txt,43,
12,07,main.txt-12,60,main.txt,58,
12,07,main.txt-12,40,main.txt,49,
12,07,main.txt-12,04,main.txt,69,
12,07,main.txt-12,20,c_ac.txt,91,
12,07,main.txt-12,59,gcd.txt,87,
12,95,main.txt-12,29,main.txt,37,
12,95,main.txt-12,91,solve.txt,59,
12,95,main.txt-12,43,main.txt,47,
12,95,main.txt-12,66,main.txt,47,
12,95,main.txt-12,83,solve.txt,53,
12,95,main.txt-12,35,gcd.txt,84,
12,95,main.txt-12,82,main.txt,40,
12,95,main.txt-12,90,readfile.txt,66,
12,95,main.txt-12,47,lcm.txt,81,
12,95,main.txt-12,84,gcd.txt,75,
12,95,main.txt-12,30,main.txt,50,
12,95,main.txt-12,05,main.txt,43,
12,95,main.txt-12,84,cache.txt,66,
12,95,main.txt-12,08,main.txt,53,
12,95,main.txt-12,42,main.txt,60,
12,95,main.txt-12,60,main.txt,71,
12,95,main.txt-12,40,main.txt,49,
12,95,main.txt-12,04,main.txt,54,
12,95,main.txt-12,20,c_ac.txt,85,
12,95,main.txt-12,59,gcd.txt,79,
12,95,main.txt-12,07,main.txt,44,
12,93,compute.txt-12,29,main.txt,64,
12,93,compute.txt-12,91,solve.txt,50,
12,93,compute.txt-12,43,main.txt,75,
