,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,2,2,,,2,,,3,2,2,2,2,3,2,2,2,2,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,,3,3,,,,,,3,2,2,,2,2,2,,2,,,,2,2,2,2,3,3,2,3,2,,,3,3,2,3,,,3,2,2,3,2,2,2,2,,,2,3,2,2,2,2,2,2,2,,2,2,2
2,,,2,,,2,3,,3,2,2,2,2,3,2,2,2,2,2,,,2,2,3,,,2,3,2,3,,,2,,2,2,2,,2,2,2,3,3,,3,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,2,,,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,2,2,2,2,,2,2,2
3,,,,,,2,,,3,2,2,2,2,3,2,2,2,2,2,,,,2,3,,2,2,3,2,3,,,2,,2,2,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,2,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,3,2,2,2,2,3,2,2,2,2,2,,,,2,3,,,2,3,2,2,3,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,,2,2,2
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,3,,3,,,,3,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
9,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,3,3,,,3,3,3,3,,,3,,3,3,3,,3,3,,3,3,,,,,,3,3,3,,3,3,3,,3,,,,3,3,3,3,3,3,3,3,3,,,3,3,3,3,,,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,3,,3,3,3
10,,,,,,,,,,,2,2,2,3,2,2,2,2,2,,,,2,3,,,2,3,2,2,3,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,2,2,2,2,2,,3,3,2,2,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
11,,,,,,,,,,,,2,2,3,2,2,2,2,2,,,,2,3,,,2,3,2,2,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,2,2,2,2,2,,3,3,2,2,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
12,,,,,,,,,,,,,2,3,2,2,2,2,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
13,,,,,,,,,,,,,,3,2,2,2,2,2,,,2,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,2,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
14,,,,,,,,,,,,,,,3,3,3,3,3,,,,3,3,,,3,3,3,3,,,3,,2,3,3,,3,3,2,3,3,,,,,,3,3,3,,3,3,3,,3,,,,3,3,3,3,2,3,3,2,3,,,3,3,2,3,,,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,3,,3,3,3
15,,,,,,,,,,,,,,,,2,2,2,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,2,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
16,,,,,,,,,,,,,,,,,2,2,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,3,3,3,,,,,3,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,3,2,3,,3,2,2,3,,,3,2,2,3,2,2,2,2,,,2,3,2,2,2,2,2,2,2,,2,2,2
17,,,,,,,,,,,,,,,,,,2,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,,3,2,,,,,,3,2,2,,2,2,2,,2,,,,2,2,2,2,3,3,2,3,2,,,3,3,2,3,,,3,2,2,3,2,2,2,2,,,2,3,2,2,2,2,2,2,2,3,2,2,2
18,,,,,,,,,,,,,,,,,,,2,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
19,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,2,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,2,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
20,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,3,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,2,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,3,,,,2,,,,,3,,3,,,,,2,,,,,,,,,,,,2,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,3,2,3,,,2,,2,2,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,2,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
24,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,3,,3,3,3,,3,3,3,3,3,,,,,3,3,3,3,,3,3,3,,3,3,,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,,,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,3,,3,3,3
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,,,2,,2,3,2,,2,2,2,3,2,,,,,,3,2,2,,2,2,2,,2,,,,2,2,2,2,3,3,2,3,2,,,3,3,2,3,,,3,2,2,3,2,2,2,2,,,2,3,2,2,2,2,2,2,2,,2,2,2
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,,3,3,3,,3,3,,3,3,,,,,,3,3,3,,3,3,3,,3,,,,3,3,3,3,3,3,3,3,3,,,3,3,3,3,,,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,3,,3,3,3
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,2,3,2,,2,2,2,3,3,,,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,3,2,2,2
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,2,3,2,,3,2,,3,3,,,,,2,3,3,3,,3,3,2,,3,3,,,3,3,3,3,3,2,2,2,2,,,2,3,3,2,,,3,2,3,3,3,3,3,3,,,3,2,3,3,2,3,2,3,3,,3,3,3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,3,,,,,,,3,,,3,,3,,,,,,,3,,3,,3,,,,,,,,3,,,,,,,,,,3,,,,,3,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,,2,2,2,3,3,,2,,,2,3,2,2,,2,2,2,,2,3,,3,2,2,2,2,3,3,2,2,2,2,,3,3,2,3,,,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,2,2,2
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,2,2,,3,3,,,,,2,3,2,2,,2,2,2,,2,,,,2,2,2,2,3,3,2,2,2,,,2,3,2,3,,,3,2,2,3,2,2,2,2,2,,2,3,2,2,2,2,2,2,2,3,2,2,2
